Facility Name,CMS Certification Number (CCN),Address,City,State,Zip Code,Network,VAT Catheter Measure Score Applied,National Average VAT Catheter Measure Score,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Measure Score Applied,National Average VAT Fistula Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Achievement Period Numerator,Kt/V Comprehensive Achievement Period Denominator,Kt/V Comprehensive Improvement Period Denominator,Kt/V Comprehensive Measure Score Applied,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,Hypercalcemia Reason for No Score (See Footnotes File),Hypercalcemia Achievement Measure Rate,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Measure Score Applied,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score Applied,National Average NHSN BSI Measure Score,NHSN Dialysis Event Reporting Number of Months Reported,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),ICH CAHPS Achievement Period Count of Completed Surveys,ICH CAHPS Improvement Period Count of Completed Surveys,ICH CAHPS Measure Score Applied,National Average ICH CAHPS Measure Score,ICH CAHPS Neph Comm and Caring Measure Score Applied,Serum Phosphorus Measure Score,National Average Serum Phosphorus Measure Score,National Average Anemia Management Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Period Numerator,SRR Measure Score Applied,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,STrR Achievement Measure Ratio,Number of Patient-Years at Risk in STrR Achievement Period,STrR Achievement Period Numerator,STrR Achievement Period Denominator,STrR Improvement Measure Ratio,STrR Measure Score Applied,National Average STrR Measure Score,SHR Achievement Period Numerator,SHR Achievement Period Denominator,SHR Measure Score Applied,National Average SHR Measure Score,Pain Assessment and Follow-up Measure Score,Ultrafiltration Measure Score,Ultrafiltration Reason for No Score (See Footnotes File),National Average Ultrafiltration Measure Score,Total-Performance-Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
CHILDRENS HOSPITAL DIALYSIS,12306,1600 7TH AVENUE SOUTH ,BIRMINGHAM,AL,35233,8,N/A,5,,,N/A,5,5,171,198,220,Improvement,7,No Score,1,No Rate,,,N/A,10,Achievement,6,12,4,7,No Score,10,N/A,N/A,N/A,5,N/A,No Score,9,10,-,11,7.204,17,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,27,16.141,Improvement,5,No Score,No Score,1,4,35,1.50%,11/17/1982,NOT A CHAIN,3/6/2012
FMC CAPITOL CITY,12500,255 S JACKSON STREET ,MONTGOMERY,AL,36104,8,Achievement,5,395,815,Achievement,5,5,1157,1213,1209,Achievement,7,6,-,1.06%,13,1226,Achievement,10,Achievement,6,12,8,7,2,-,38,43,Achievement,5,Achievement,9,9,10,-,48,45.262,43,Achievement,5,3,1.151,50.02053388,22,19.12,1.213,Achievement,5,175,152.581,Achievement,5,10,1,-,4,43,1.00%,9/1/1976,FRESENIUS MEDICAL CARE,3/6/2012
GADSDEN DIALYSIS,12501,409 SOUTH FIRST STREET ,GADSDEN,AL,35901,8,Achievement,5,161,305,Achievement,5,5,476,484,510,Achievement,7,8,-,0.84%,4,478,Improvement,10,Achievement,6,12,6,7,No Score,5,19,20,N/A,5,N/A,9,9,10,-,30,24.179,28,Achievement,5,1,1.847,25.82067077,14,7.58,2.064,Improvement,5,94,54.714,Achievement,5,10,3,-,4,42,1.00%,9/1/1976,DAVITA,11/18/2009
TUSCALOOSA UNIVERSITY DIALYSIS,12502,220 15TH STREET ,TUSCALOOSA,AL,35401,8,Achievement,5,401,778,Improvement,5,5,1230,1265,1271,Achievement,7,10,-,0.00%,0,1266,Achievement,10,Achievement,6,12,5,7,7,-,55,58,Achievement,5,Achievement,10,9,10,-,66,49.614,47,Achievement,5,8,0.59,60.26009582,13,22.042,1.097,Achievement,5,163,152.622,Achievement,5,10,0,-,4,54,0.50%,10/21/1977,DAVITA,11/17/2009
PCD MONTGOMERY,12505,1001 FOREST AVENUE ,MONTGOMERY,AL,36106,8,Achievement,5,268,476,Achievement,5,5,839,856,860,Achievement,7,4,-,1.49%,13,871,Achievement,10,Achievement,6,12,4,7,5,-,32,36,Achievement,5,Achievement,8,9,10,-,11,21.79,34,Achievement,5,4,1.054,46.89664613,19,18.025,1.13,Achievement,5,98,100,Achievement,5,10,1,-,4,62,No Reduction,12/14/1977,DAVITA,3/16/2012
DOTHAN DIALYSIS,12506,216 GRACELAND DR. ,DOTHAN,AL,36305,8,Achievement,5,268,487,Achievement,5,5,572,575,618,Achievement,7,6,-,0.81%,5,619,Achievement,10,Achievement,6,12,9,7,9,-,30,34,Achievement,5,Achievement,10,9,10,-,19,18.143,23,Achievement,5,10,0.255,31.92334018,3,11.784,1.39,Achievement,5,77,87.227,Achievement,5,10,9,-,4,79,No Reduction,11/28/1977,DAVITA,10/24/2009
FMC MOBILE,12507,2620 OLD SHELL RD ,MOBILE,AL,36607,8,Achievement,5,344,672,Achievement,5,5,1124,1133,1175,Achievement,7,8,-,0.53%,6,1142,Achievement,10,Achievement,6,12,7,7,0,-,44,57,Achievement,5,Achievement,10,9,10,-,15,20.15,24,Achievement,5,9,0.437,50.7980835,8,18.318,0.795,Achievement,5,92,105.88,Achievement,5,10,4,-,4,62,No Reduction,1/4/1979,FRESENIUS MEDICAL CARE,3/6/2012
BIRMINGHAM EAST DIALYSIS,12508,1105 EAST PARK DRIVE ,BIRMINGHAM,AL,35235,8,Achievement,5,147,356,Achievement,5,5,726,763,815,Achievement,7,5,-,1.32%,10,759,Achievement,10,Achievement,6,12,8,7,3,-,32,47,Achievement,5,Achievement,8,9,10,-,10,19.469,14,Achievement,5,0,1.881,29.17180014,18,9.57,1.139,Achievement,5,77,61.906,Achievement,5,10,0,-,4,45,1.00%,6/28/1979,DAVITA,1/2/1980
FMC NORTH ALABAMA,12509,1311 N MEMORIAL PKWY #200 ,HUNTSVILLE,AL,35801,8,Achievement,5,360,464,Achievement,5,5,727,748,753,Achievement,7,3,-,1.74%,13,748,Achievement,10,Achievement,6,12,9,7,No Score,5,28,16,N/A,5,N/A,10,9,10,-,9,10.754,33,Achievement,5,6,0.891,36.24640657,11,12.344,1.735,Improvement,5,46,66.022,Achievement,5,10,3,-,4,77,No Reduction,7/16/1979,FRESENIUS MEDICAL CARE,3/6/2012
FMC SELMA,12512,905 MEDICAL CENTER PARKWAY ,SELMA,AL,36701,8,Achievement,5,381,628,Achievement,5,5,826,866,838,Achievement,7,9,-,0.22%,2,893,Achievement,10,Achievement,6,12,10,7,0,-,40,26,Achievement,5,Achievement,9,9,10,-,22,20.76,10,Achievement,5,7,0.696,51.07186858,13,18.683,0.488,Achievement,5,98,94.718,Achievement,5,10,2,-,4,54,0.50%,8/25/1980,FRESENIUS MEDICAL CARE,8/25/1980
